"ISSN_1","ISSN_2","Title"
2376‐3639,2376‐3647,"ACM TRANSACTIONS ON MODELING AND PERFORMANCE EVALUATION OF COMPUTING SYSTEMS"
1551‐6857,1551‐6865,"ACM TRANSACTIONS ON MULTIMEDIA COMPUTING, COMMUNICATIONS AND APPLICATIONS"
2329‐4949,2329‐4957,"ACM TRANSACTIONS ON PARALLEL COMPUTING"
2471‐2566,2471‐2574,"ACM TRANSACTIONS ON PRIVACY AND SECURITY"
0164‐0925,,"         ACM TRANSACTIONS ON PROGRAMMING LANGUAGES AND SYSTEMS"
2643‐6817,,"         ACM TRANSACTIONS ON QUANTUM COMPUTING"
1936‐7406,1936‐7414,"ACM TRANSACTIONS ON RECONFIGURABLE TECHNOLOGY AND SYSTEMS"
1550‐4859,,"         ACM TRANSACTIONS ON SENSOR NETWORKS"
1049‐331X,1557‐7392,"ACM TRANSACTIONS ON SOFTWARE ENGINEERING AND METHODOLOGY"
2374‐0353,2374‐0361,"ACM TRANSACTIONS ON SPATIAL ALGORITHMS AND SYSTEMS"
1553‐3077,,"         ACM TRANSACTIONS ON STORAGE"
1559‐1131,,"         ACM TRANSACTIONS ON THE WEB"
0324‐721X,,"         ACTA CYBERNETICA"
0001‐5903,1432‐0525,"ACTA INFORMATICA"
1805‐4951,,"         ACTA INFORMATICA PRAGENSIA"
1570‐8705,,"         AD HOC NETWORKS"
1381‐6551,,"         ADA USER JOURNAL"
1059‐7123,1741‐2633,"ADAPTIVE BEHAVIOR"
1551‐9899,1552‐0633,"AD‐HOC AND SENSOR WIRELESS NETWORKS"
1474‐0346,,"         ADVANCED ENGINEERING INFORMATICS"
2522‐9052,,"         ADVANCED INFORMATION SYSTEMS"
2640‐4567,,"         ADVANCED INTELLIGENT SYSTEMS"
0169‐1864,1568‐5535,"ADVANCED ROBOTICS"
2582‐9793,,"         ADVANCES IN ARTIFICIAL INTELLIGENCE AND MACHINE LEARNING"
2383‐8477,2466‐0523,"ADVANCES IN COMPUTATIONAL DESIGN"
1862‐5347,1862‐5355,"ADVANCES IN DATA ANALYSIS AND CLASSIFICATION"
2255‐2863,,"         ADVANCES IN DISTRIBUTED COMPUTING AND ARTIFICIAL INTELLIGENCE JOURNAL"
0965‐9978,1873‐5339,"ADVANCES IN ENGINEERING SOFTWARE"
1687‐5893,1687‐5907,"ADVANCES IN HUMAN‐COMPUTER INTERACTION"
1240‐4543,,"         ADVANCES IN MODELLING AND ANALYSIS B"
1687‐5680,1687‐5699,"ADVANCES IN MULTIMEDIA"
2415‐0436,2518‐2994,"ADVANCES IN TECHNOLOGY INNOVATION"
2673‐2688,,"         AI (SWITZERLAND)"
0951‐5666,1435‐5655,"AI AND SOCIETY"
0921‐7126,,"         AI COMMUNICATIONS"
0738‐4602,,"         AI MAGAZINE"
2666‐6510,,"         AI OPEN"
2473‐3458,,"         AIS TRANSACTIONS ON REPLICATION RESEARCH"
2158‐5571,2157‐6203,"ALGORITHMIC FINANCE"
0178‐4617,1432‐0541,"ALGORITHMICA"
1999‐4893,,"         ALGORITHMS"
1748‐7188,,"         ALGORITHMS FOR MOLECULAR BIOLOGY"
0925‐1030,1573‐1979,"ANALOG INTEGRATED CIRCUITS AND SIGNAL PROCESSING"
2198‐5804,2198‐5812,"ANNALS OF DATA SCIENCE"
2516‐0281,2516‐029X,"ANNALS OF EMERGING TECHNOLOGIES IN COMPUTING"
1947‐5683,1947‐5691,"ANNALS OF GIS"
1012‐2443,1573‐7470,"ANNALS OF MATHEMATICS AND ARTIFICIAL INTELLIGENCE"
2573‐5144,,"         ANNUAL REVIEW OF CONTROL, ROBOTICS, AND AUTONOMOUS SYSTEMS"
2689‐5595,,"         APPLIED AI LETTERS"
0883‐9514,1087‐6545,"APPLIED ARTIFICIAL INTELLIGENCE"
1869‐0327,,"         APPLIED CLINICAL INFORMATICS"
1687‐9724,1687‐9732,"APPLIED COMPUTATIONAL INTELLIGENCE AND SOFT COMPUTING"
1895‐3735,2353‐6977,"APPLIED COMPUTER SCIENCE"
2590‐1974,,"         APPLIED COMPUTING AND GEOSCIENCES"
0924‐669X,1573‐7497,"APPLIED INTELLIGENCE"
2364‐8228,2364‐8228,"APPLIED NETWORK SCIENCE"
1570‐5838,1875‐8533,"APPLIED ONTOLOGY"
1568‐4946,,"         APPLIED SOFT COMPUTING"
2048‐7703,,"         APSIPA TRANSACTIONS ON SIGNAL AND INFORMATION PROCESSING"
1120‐6861,2385‐1953,"ARCHEOLOGIA E CALCOLATORI"
1946‐2166,1946‐2174,"ARGUMENT AND COMPUTATION"
2590‐0056,,"         ARRAY"
0381‐7032,,"         ARS COMBINATORIA"
2473‐7321,,"         ART, SCIENCE, AND ENGINEERING OF PROGRAMMING"
0004‐3702,,"         ARTIFICIAL INTELLIGENCE"
0924‐8463,1572‐8382,"ARTIFICIAL INTELLIGENCE AND LAW"
0890‐0604,1469‐1760,"ARTIFICIAL INTELLIGENCE FOR ENGINEERING DESIGN, ANALYSIS AND MANUFACTURING: AIEDAM"
2589‐7217,,"         ARTIFICIAL INTELLIGENCE IN AGRICULTURE"
2666‐5441,,"         ARTIFICIAL INTELLIGENCE IN GEOSCIENCES"
0933‐3657,1873‐2860,"ARTIFICIAL INTELLIGENCE IN MEDICINE"
2667‐3185,,"         ARTIFICIAL INTELLIGENCE IN THE LIFE SCIENCES"
0269‐2821,1573‐7462,"ARTIFICIAL INTELLIGENCE REVIEW"
2771‐0408,,"         ARTIFICIAL INTELLIGENCE SURGERY"
1064‐5462,1530‐9185,"ARTIFICIAL LIFE"
1433‐5298,,"         ARTIFICIAL LIFE AND ROBOTICS"
2213‐1337,,"         ASTRONOMY AND COMPUTING"
0928‐8910,1573‐7535,"AUTOMATED SOFTWARE ENGINEERING"
0146‐4116,1558‐108X,"AUTOMATIC CONTROL AND COMPUTER SCIENCES"
0005‐1144,,"         AUTOMATIKA"
2673‐4052,,"         AUTOMATION"
1387‐2532,1573‐7454,"AUTONOMOUS AGENTS AND MULTI‐AGENT SYSTEMS"
2730‐616X,,"         AUTONOMOUS INTELLIGENT SYSTEMS"
0929‐5593,1573‐7527,"AUTONOMOUS ROBOTS"
2255‐8942,2255‐8950,"BALTIC JOURNAL OF MODERN COMPUTING"
0144‐929X,1362‐3001,"BEHAVIOUR AND INFORMATION TECHNOLOGY"
2167‐6461,2167‐647X,"BIG DATA"
2504‐2289,,"         BIG DATA AND COGNITIVE COMPUTING"
2053‐9517,,"         BIG DATA AND SOCIETY"
2096‐0654,2097‐406X,"BIG DATA MINING AND ANALYTICS"
2214‐5796,2214‐5796,"BIG DATA RESEARCH"
1895‐9091,1896‐530X,"BIO‐ALGORITHMS AND MED‐SYSTEMS"
1756‐0381,,"         BIODATA MINING"
1367‐4803,1367‐4811,"BIOINFORMATICS"
2635‐0041,,"         BIOINFORMATICS ADVANCES"
1177‐9322,,"         BIOINFORMATICS AND BIOLOGY INSIGHTS"
0340‐1200,1432‐0770,"BIOLOGICAL CYBERNETICS"
2212‐683X,,"         BIOLOGICALLY INSPIRED COGNITIVE ARCHITECTURES"
1746‐8094,1746‐8108,"BIOMEDICAL SIGNAL PROCESSING AND CONTROL"
2673‐7426,,"         BIOMEDINFORMATICS"
0303‐2647,,"         BIOSYSTEMS"
2573‐8240,,"         BLOCKCHAIN IN HEALTHCARE TODAY"
2096‐7209,2666‐9536,"BLOCKCHAIN: RESEARCH AND APPLICATIONS"
1471‐2105,,"         BMC BIOINFORMATICS"
1472‐6947,,"         BMC MEDICAL INFORMATICS AND DECISION MAKING"
1752‐0509,,"         BMC SYSTEMS BIOLOGY"
2632‐1009,,"         BMJ HEALTH AND CARE INFORMATICS"
2198‐4018,2198‐4026,"BRAIN INFORMATICS"
2326‐263X,2326‐2621,"BRAIN‐COMPUTER INTERFACES"
1467‐5463,1477‐4054,"BRIEFINGS IN BIOINFORMATICS"
2363‐7005,1867‐0202,"BUSINESS AND INFORMATION SYSTEMS ENGINEERING"
2587‐814X,2587‐8158,"BUSINESS INFORMATICS"
2468‐6557,2468‐2322,"CAAI TRANSACTIONS ON INTELLIGENCE TECHNOLOGY"
1673‐4785,,"         CAAI TRANSACTIONS ON INTELLIGENT SYSTEMS"
0010‐4485,,"         CAD COMPUTER AIDED DESIGN"
2056‐9017,,"         CALICO JOURNAL"
1499‐6685,,"         CANADIAN JOURNAL OF LEARNING AND TECHNOLOGY"
2524‐4922,2524‐4930,"CCF TRANSACTIONS ON HIGH PERFORMANCE COMPUTING"
2524‐521X,2524‐5228,"CCF TRANSACTIONS ON PERVASIVE COMPUTING AND INTERACTION"
2096‐6652,,"         CHINESE JOURNAL OF INTELLIGENT SCIENCE AND TECHNOLOGY"
2096‐109X,,"         CHINESE JOURNAL ON INTERNET OF THINGS"
2096‐3750,,"         CHINESE JOURNAL OF NETWORK AND INFORMATION SECURITY"
0278‐081X,1531‐5878,"CIRCUITS, SYSTEMS, AND SIGNAL PROCESSING"
1386‐7857,,"         CLUSTER COMPUTING"
1526‐1492,1526‐1506,"CMES ‐ COMPUTER MODELING IN ENGINEERING AND SCIENCES"
1435‐5558,1435‐5566,"COGNITION, TECHNOLOGY AND WORK"
1866‐9956,1866‐9964,"COGNITIVE COMPUTATION"
2517‐7567,,"         COGNITIVE COMPUTATION AND SYSTEMS"
2667‐2413,,"         COGNITIVE ROBOTICS"
0364‐0213,1551‐6709,"COGNITIVE SCIENCE"
2214‐4366,1389‐0417,"COGNITIVE SYSTEMS RESEARCH"
0963‐5483,1469‐2163,"COMBINATORICS PROBABILITY AND COMPUTING"
1979‐2484,2460‐7010,"COMMIT JOURNAL"
0001‐0782,1557‐7317,"COMMUNICATIONS OF THE ACM"
1529‐3181,,"         COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS"
2194‐3206,,"         COMPLEX ADAPTIVE SYSTEMS MODELING"
2199‐4536,2198‐6053,"COMPLEX AND INTELLIGENT SYSTEMS"
0891‐2513,,"         COMPLEX SYSTEMS"
2255‐9922,,"         COMPLEX SYSTEMS INFORMATICS AND MODELING QUARTERLY"
1076‐2787,1099‐0526,"COMPLEXITY"
2211‐3568,2211‐3576,"COMPUTABILITY"
1405‐5546,,"         COMPUTACION Y SISTEMAS"
2079‐3197,,"         COMPUTATION"
2577‐7408,,"         COMPUTATIONAL AND MATHEMATICAL METHODS"
1381‐298X,,"         COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY"
2665‐9085,,"         COMPUTATIONAL COMMUNICATION RESEARCH"
1016‐3328,1420‐8954,"COMPUTATIONAL COMPLEXITY"
0927‐7099,1572‐9974,"COMPUTATIONAL ECONOMICS"
0925‐7721,,"         COMPUTATIONAL GEOMETRY: THEORY AND APPLICATIONS"
1420‐0597,,"         COMPUTATIONAL GEOSCIENCES"
0824‐7935,1467‐8640,"COMPUTATIONAL INTELLIGENCE"
0891‐2017,1530‐9312,"COMPUTATIONAL LINGUISTICS"
1619‐697X,,"         COMPUTATIONAL MANAGEMENT SCIENCE"
2197‐4314,,"         COMPUTATIONAL SOCIAL NETWORKS"
0167‐9473,,"         COMPUTATIONAL STATISTICS AND DATA ANALYSIS"
2096‐0433,2096‐0662,"COMPUTATIONAL VISUAL MEDIA"
0018‐9162,,"         COMPUTER"
0167‐8396,,"         COMPUTER AIDED GEOMETRIC DESIGN"
1546‐4261,,"         COMPUTER ANIMATION AND VIRTUAL WORLDS"
1061‐3773,1099‐0542,"COMPUTER APPLICATIONS IN ENGINEERING EDUCATION"
0958‐8221,1744‐3210,"COMPUTER ASSISTED LANGUAGE LEARNING"
2299‐3649,2956‐5839,"COMPUTER ASSISTED METHODS IN ENGINEERING AND SCIENCE"
0146‐4833,1943‐5819,"COMPUTER COMMUNICATION REVIEW"
0140‐3664,1873‐703X,"COMPUTER COMMUNICATIONS"
1361‐3723,,"         COMPUTER FRAUD AND SECURITY"
1677‐7055,1467‐8659,"COMPUTER GRAPHICS FORUM"
0010‐4620,1460‐2067,"COMPUTER JOURNAL"
0267‐3649,,"         COMPUTER LAW AND SECURITY REVIEW"
0169‐2607,1872‐7565,"COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE"
2666‐9900,,"         COMPUTER METHODS AND PROGRAMS IN BIOMEDICINE UPDATE"
1025‐5842,1476‐8259,"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING"
2168‐1163,2168‐1171,"COMPUTER METHODS IN BIOMECHANICS AND BIOMEDICAL ENGINEERING: IMAGING AND VISUALIZATION"
0148‐9267,1531‐5169,"COMPUTER MUSIC JOURNAL"
1389‐1286,,"         COMPUTER NETWORKS"
1508‐2806,2300‐7036,"COMPUTER SCIENCE"
1820‐0214,2406‐1018,"COMPUTER SCIENCE AND INFORMATION SYSTEMS"
0899‐3408,1744‐5175,"COMPUTER SCIENCE EDUCATION"
1561‐4042,,"         COMPUTER SCIENCE JOURNAL OF MOLDOVA"
1574‐0137,,"         COMPUTER SCIENCE REVIEW"
0289‐6540,,"         COMPUTER SOFTWARE"
0885‐2308,1095‐8363,"COMPUTER SPEECH AND LANGUAGE"
0920‐5489,,"         COMPUTER STANDARDS AND INTERFACES"
0925‐9724,1573‐7551,"COMPUTER SUPPORTED COOPERATIVE WORK"
0267‐6192,,"         COMPUTER SYSTEMS SCIENCE AND ENGINEERING"
1077‐3142,1090‐235X,"COMPUTER VISION AND IMAGE UNDERSTANDING"
1093‐9687,1467‐8667,"COMPUTER‐AIDED CIVIL AND INFRASTRUCTURE ENGINEERING"
1686‐4360,,"         COMPUTER‐AIDED DESIGN AND APPLICATIONS"
0895‐6111,1879‐0771,"COMPUTERIZED MEDICAL IMAGING AND GRAPHICS"
2073‐431X,,"         COMPUTERS"
0098‐1354,,"         COMPUTERS AND CHEMICAL ENGINEERING"
8755‐4615,,"         COMPUTERS AND COMPOSITION"
0360‐1315,,"         COMPUTERS AND EDUCATION"
2666‐920X,,"         COMPUTERS AND EDUCATION: ARTIFICIAL INTELLIGENCE"
0045‐7906,,"         COMPUTERS AND ELECTRICAL ENGINEERING"
0168‐1699,,"         COMPUTERS AND ELECTRONICS IN AGRICULTURE"
0098‐3004,,"         COMPUTERS AND GEOSCIENCES"
0097‐8493,,"         COMPUTERS AND GRAPHICS"
0360‐8352,,"         COMPUTERS AND INDUSTRIAL ENGINEERING"
0898‐1221,1873‐7668,"COMPUTERS AND MATHEMATICS WITH APPLICATIONS"
0305‐0548,1873‐765X,"COMPUTERS AND OPERATIONS RESEARCH"
0167‐4048,,"         COMPUTERS AND SECURITY"
0010‐4825,1879‐0534,"COMPUTERS IN BIOLOGY AND MEDICINE"
1069‐3769,,"         COMPUTERS IN EDUCATION JOURNAL"
1544‐3574,,"         COMPUTERS IN ENTERTAINMENT"
0747‐5632,,"         COMPUTERS IN HUMAN BEHAVIOR"
2451‐9588,,"         COMPUTERS IN HUMAN BEHAVIOR REPORTS"
0166‐3615,,"         COMPUTERS IN INDUSTRY"
1041‐7915,,"         COMPUTERS IN LIBRARIES"
0738‐0569,1528‐7033,"COMPUTERS IN THE SCHOOLS"
1546‐2218,1546‐2226,"COMPUTERS, MATERIALS AND CONTINUA"
0010‐485X,1436‐5057,"COMPUTING"
1335‐9150,2585‐8807,"COMPUTING AND INFORMATICS"
2510‐2044,,"         COMPUTING AND SOFTWARE FOR BIG SCIENCE"
1432‐9360,1433‐0369,"COMPUTING AND VISUALIZATION IN SCIENCE"
1521‐9615,,"         COMPUTING IN SCIENCE AND ENGINEERING"
1532‐0626,1532‐0634,"CONCURRENCY COMPUTATION PRACTICE AND EXPERIENCE"
1063‐293X,1531‐2003,"CONCURRENT ENGINEERING RESEARCH AND APPLICATIONS"
0954‐0091,1360‐0494,"CONNECTION SCIENCE"
1383‐7133,1572‐9354,"CONSTRAINTS"
1454‐8658,,"         CONTROL ENGINEERING AND APPLIED INFORMATICS"
2410‐387X,,"         CRYPTOGRAPHY"
1936‐2447,1936‐2455,"CRYPTOGRAPHY AND COMMUNICATIONS"
0161‐1194,1558‐1586,"CRYPTOLOGIA"
1574‐8936,,"         CURRENT BIOINFORMATICS"
2772‐9184,,"         CYBER SECURITY AND APPLICATIONS"
1311‐9702,1314‐4081,"CYBERNETICS AND INFORMATION TECHNOLOGIES"
2223‐7038,2226‐4116,"CYBERNETICS AND PHYSICS"
0196‐9722,1087‐6553,"CYBERNETICS AND SYSTEMS"
1060‐0396,1573‐8337,"CYBERNETICS AND SYSTEMS ANALYSIS"
2333‐5785,,"         CYBER‐PHYSICAL SYSTEMS"
2152‐2715,2152‐2723,"CYBERPSYCHOLOGY, BEHAVIOR, AND SOCIAL NETWORKING"
2096‐4862,2523‐3246,"CYBERSECURITY"
2097‐1087,2692‐7632,"CYBORG AND BIONIC SYSTEMS"
2306‐5729,,"         DATA"
2096‐3467,,"         DATA ANALYSIS AND KNOWLEDGE DISCOVERY"
2543‐9251,,"         DATA AND INFORMATION MANAGEMENT"
0169‐023X,,"         DATA AND KNOWLEDGE ENGINEERING"
2953‐4917,,"         DATA AND METADATA"
2632‐3249,,"         DATA AND POLICY"
1532‐0936,2331‐1622,"DATA BASE FOR ADVANCES IN INFORMATION SYSTEMS"
0922‐3487,,"         DATA HANDLING IN SCIENCE AND TECHNOLOGY"
2096‐7004,2641‐435X,"DATA INTELLIGENCE"
1384‐5810,1573‐756X,"DATA MINING AND KNOWLEDGE DISCOVERY"
2451‐8484,2451‐8492,"DATA SCIENCE"
2364‐1185,2364‐1541,"DATA SCIENCE AND ENGINEERING"
2666‐7649,,"         DATA SCIENCE AND MANAGEMENT"
1683‐1470,,"         DATA SCIENCE JOURNAL"
2514‐9288,2514‐9318,"DATA TECHNOLOGIES AND APPLICATIONS"
1758‐0463,,"         DATABASE: THE JOURNAL OF BIOLOGICAL DATABASES AND CURATION"
2632‐6736,,"         DATA‐CENTRIC ENGINEERING"
0167‐9236,,"         DECISION SUPPORT SYSTEMS"
0929‐5585,1572‐8080,"DESIGN AUTOMATION FOR EMBEDDED SYSTEMS"
0925‐1022,1573‐7586,"DESIGNS, CODES, AND CRYPTOGRAPHY"
2212‐0548,,"         DIGITAL APPLICATIONS IN ARCHAEOLOGY AND CULTURAL HERITAGE"
2468‐5925,2352‐8648,"DIGITAL COMMUNICATIONS AND NETWORKS"
1462‐6268,1744‐3806,"DIGITAL CREATIVITY"
2013‐9144,2013‐9144,"DIGITAL EDUCATION REVIEW"
2666‐3783,,"         DIGITAL GEOGRAPHY AND SOCIETY"
2639‐0175,,"         DIGITAL GOVERNMENT: RESEARCH AND PRACTICE"
2055‐2076,,"         DIGITAL HEALTH"
1938‐4122,,"         DIGITAL HUMANITIES QUARTERLY"
2059‐5816,2059‐5824,"DIGITAL LIBRARY PERSPECTIVES"
2055‐7671,2055‐768X,"DIGITAL SCHOLARSHIP IN THE HUMANITIES"
1051‐2004,1095‐4333,"DIGITAL SIGNAL PROCESSING: A REVIEW JOURNAL"
1918‐3666,,"         DIGITAL STUDIES/LE CHAMP NUMERIQUE"
2576‐5337,,"         DIGITAL THREATS: RESEARCH AND PRACTICE"
2755‐0761,2755‐077X,"DIGITAL TRANSFORMATION AND SOCIETY"
1748‐3107,,"         DISABILITY AND REHABILITATION: ASSISTIVE TECHNOLOGY"
2948‐2984,2948‐2992,"DISCOVER COMPUTING"
2730‐7239,,"         DISCOVER INTERNET OF THINGS"
0179‐5376,1432‐0444,"DISCRETE AND COMPUTATIONAL GEOMETRY"
1462‐7264,1365‐8050,"DISCRETE MATHEMATICS AND THEORETICAL COMPUTER SCIENCE"
1572‐5286,,"         DISCRETE OPTIMIZATION"
0141‐9382,,"         DISPLAYS"
0926‐8782,1573‐7578,"DISTRIBUTED AND PARALLEL DATABASES"
0178‐2770,1432‐0452,"DISTRIBUTED COMPUTING"
2564‐4939,,"         DRONE SYSTEMS AND APPLICATIONS"
2153‐0785,2153‐0793,"DYNAMIC GAMES AND APPLICATIONS"
2032‐944X,,"         EAI ENDORSED TRANSACTIONS ON ENERGY WEB"
2410‐0218,,"         EAI ENDORSED TRANSACTIONS ON INDUSTRIAL NETWORKS AND INTELLIGENT SYSTEMS"
2414‐1399,,"         EAI ENDORSED TRANSACTIONS ON INTERNET OF THINGS"
2411‐7145,,"         EAI ENDORSED TRANSACTIONS ON PERVASIVE HEALTH AND TECHNOLOGY"
2032‐9407,,"         EAI ENDORSED TRANSACTIONS ON SCALABLE INFORMATION SYSTEMS"
2522‐8595,2522‐8609,"EAI/SPRINGER INNOVATIONS IN COMMUNICATION AND COMPUTING"
1865‐0473,1865‐0481,"EARTH SCIENCE INFORMATICS"
1574‐9541,,"         ECOLOGICAL INFORMATICS"
0424‐267X,1842‐3264,"ECONOMIC COMPUTATION AND ECONOMIC CYBERNETICS STUDIES AND RESEARCH"
2286‐9131,,"         ECTI TRANSACTIONS ON COMPUTER AND INFORMATION TECHNOLOGY"
0167‐8329,1875‐8649,"EDUCATION FOR INFORMATION"
2444‐8729,,"         EDUCATION IN THE KNOWLEDGE SOCIETY"
1110‐8665,2090‐4754,"EGYPTIAN INFORMATICS JOURNAL"
1897‐7979,2084‐4840,"E‐INFORMATICA SOFTWARE ENGINEERING JOURNAL"
1741‐8887,2042‐7530,"E‐LEARNING AND DIGITAL MEDIA"
1389‐5753,,"         ELECTRONIC COMMERCE RESEARCH"
1567‐4223,,"         ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS"
1740‐7494,1740‐7508,"ELECTRONIC GOVERNMENT"
1479‐4403,,"         ELECTRONIC JOURNAL OF E‐LEARNING"
1681‐4835,,"         ELECTRONIC JOURNAL OF INFORMATION SYSTEMS IN DEVELOPING COUNTRIES"
1479‐4411,,"         ELECTRONIC JOURNAL OF KNOWLEDGE MANAGEMENT"
1577‐5097,,"         ELECTRONIC LETTERS ON COMPUTER VISION AND IMAGE ANALYSIS"
0264‐0473,,"         ELECTRONIC LIBRARY"
1019‐6781,1422‐8890,"ELECTRONIC MARKETS"
1382‐3256,1573‐7616,"EMPIRICAL SOFTWARE ENGINEERING"
2666‐5468,,"         ENERGY AND AI"
2520‐8942,,"         ENERGY INFORMATICS"
0952‐1976,,"         ENGINEERING APPLICATIONS OF ARTIFICIAL INTELLIGENCE"
0264‐4401,,"         ENGINEERING COMPUTATIONS"
0177‐0667,1435‐5663,"ENGINEERING WITH COMPUTERS"
1751‐7575,1751‐7583,"ENTERPRISE INFORMATION SYSTEMS"
1866‐3621,,"         ENTERPRISE MODELLING AND INFORMATION SYSTEMS ARCHITECTURES"
1875‐9521,,"         ENTERTAINMENT COMPUTING"
1364‐8152,1873‐6726,"ENVIRONMENTAL MODELLING AND SOFTWARE"
2193‐1127,,"         EPJ DATA SCIENCE"
1388‐1957,,"         ETHICS AND INFORMATION TECHNOLOGY"
1687‐6172,1687‐6180,"EURASIP JOURNAL ON ADVANCES IN SIGNAL PROCESSING"
1687‐3955,1687‐3963,"EURASIP JOURNAL ON EMBEDDED SYSTEMS"
1687‐5176,1687‐5281,"EURASIP JOURNAL ON IMAGE AND VIDEO PROCESSING"
1687‐4161,1687‐417X,"EURASIP JOURNAL ON MULTIMEDIA AND INFORMATION SECURITY"
1687‐1472,1687‐1499,"EURASIP JOURNAL ON WIRELESS COMMUNICATIONS AND NETWORKING"
0195‐6698,1095‐9971,"EUROPEAN JOURNAL OF COMBINATORICS"
0960‐085X,1476‐9344,"EUROPEAN JOURNAL OF INFORMATION SYSTEMS"
0377‐2217,,"         EUROPEAN JOURNAL OF OPERATIONAL RESEARCH"
1176‐9343,,"         EVOLUTIONARY BIOINFORMATICS"
1063‐6560,,"         EVOLUTIONARY COMPUTATION"
1864‐5909,1864‐5917,"EVOLUTIONARY INTELLIGENCE"
1868‐6478,1868‐6486,"EVOLVING SYSTEMS"
0266‐4720,1468‐0394,"EXPERT SYSTEMS"
0957‐4174,,"         EXPERT SYSTEMS WITH APPLICATIONS"
1396‐0466,1396‐0466,"FIRST MONDAY"
2666‐2825,2666‐2817,"FORENSIC SCIENCE INTERNATIONAL: DIGITAL INVESTIGATION"
0934‐5043,1433‐299X,"FORMAL ASPECTS OF COMPUTING"
0925‐9856,1572‐8102,"FORMAL METHODS IN SYSTEM DESIGN"
1567‐2190,1567‐2328,"FOUNDATIONS AND TRENDS IN COMMUNICATIONS AND INFORMATION THEORY"
1572‐2740,,"         FOUNDATIONS AND TRENDS IN COMPUTER GRAPHICS AND VISION"
1931‐7883,1931‐7891,"FOUNDATIONS AND TRENDS IN DATABASES"
1551‐3939,1551‐3947,"FOUNDATIONS AND TRENDS IN ELECTRONIC DESIGN AUTOMATION"
1551‐3955,1551‐3963,"FOUNDATIONS AND TRENDS IN HUMAN‐COMPUTER INTERACTION"
1554‐0669,1554‐0677,"FOUNDATIONS AND TRENDS IN INFORMATION RETRIEVAL"
